# Generated by matlabSample/mainHCW.m
# Osculating Keplerian elements (chief: GEO circular equatorial)
# Columns match mRendering orbit_mechanics.CsvEphemeris.
time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad
19600,42164,0,0,0,0,1.42926333237417
19610,42164,0,0,0,0,1.42999254836007
19620,42164,0,0,0,0,1.43072176434598
19630,42164,0,0,0,0,1.43145098033188
19640,42164,0,0,0,0,1.43218019631779
19650,42164,0,0,0,0,1.43290941230369
19660,42164,0,0,0,0,1.4336386282896
19670,42164,0,0,0,0,1.43436784427551
19680,42164,0,0,0,0,1.43509706026141
19690,42164,0,0,0,0,1.43582627624732
19700,42164,0,0,0,0,1.43655549223322
19710,42164,0,0,0,0,1.43728470821913
19720,42164,0,0,0,0,1.43801392420503
19730,42164,0,0,0,0,1.43874314019094
19740,42164,0,0,0,0,1.43947235617684
19750,42164,0,0,0,0,1.44020157216275
19760,42164,0,0,0,0,1.44093078814865
19770,42164,0,0,0,0,1.44166000413456
19780,42164,0,0,0,0,1.44238922012046
19790,42164,0,0,0,0,1.44311843610637
19800,42164,0,0,0,0,1.44384765209227
19810,42164,0,0,0,0,1.44457686807818
19820,42164,0,0,0,0,1.44530608406408
19830,42164,0,0,0,0,1.44603530004999
19840,42164,0,0,0,0,1.44676451603589
19850,42164,0,0,0,0,1.4474937320218
19860,42164,0,0,0,0,1.4482229480077
19870,42164,0,0,0,0,1.44895216399361
19880,42164,0,0,0,0,1.44968137997951
19890,42164,0,0,0,0,1.45041059596542
19900,42164,0,0,0,0,1.45113981195132
19910,42164,0,0,0,0,1.45186902793723
19920,42164,0,0,0,0,1.45259824392314
19930,42164,0,0,0,0,1.45332745990904
19940,42164,0,0,0,0,1.45405667589495
19950,42164,0,0,0,0,1.45478589188085
19960,42164,0,0,0,0,1.45551510786676
19970,42164,0,0,0,0,1.45624432385266
19980,42164,0,0,0,0,1.45697353983857
19990,42164,0,0,0,0,1.45770275582447
20000,42164,0,0,0,0,1.45843197181038
20010,42164,0,0,0,0,1.45916118779628
20020,42164,0,0,0,0,1.45989040378219
20030,42164,0,0,0,0,1.46061961976809
20040,42164,0,0,0,0,1.461348835754
20050,42164,0,0,0,0,1.4620780517399
20060,42164,0,0,0,0,1.46280726772581
20070,42164,0,0,0,0,1.46353648371171
20080,42164,0,0,0,0,1.46426569969762
20090,42164,0,0,0,0,1.46499491568352
20100,42164,0,0,0,0,1.46572413166943
20110,42164,0,0,0,0,1.46645334765533
20120,42164,0,0,0,0,1.46718256364124
20130,42164,0,0,0,0,1.46791177962714
20140,42164,0,0,0,0,1.46864099561305
20150,42164,0,0,0,0,1.46937021159895
20160,42164,0,0,0,0,1.47009942758486
20170,42164,0,0,0,0,1.47082864357076
20180,42164,0,0,0,0,1.47155785955667
20190,42164,0,0,0,0,1.47228707554258
