time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad,q1,q2,q3,q4
140,6787.26523883753,0.000549531440447746,1.69350000914823,6.28035458633092,6.67968596361778,-0.23946605780669,0.402926358854608,0.302928202965795,0.756214573737197,-0.417162284555485
141,6787.25846367656,0.000548919369899598,1.69350005620071,6.28035459386508,6.68277196141077,-0.241421763386653,0.380179233560071,0.309566794013425,0.73093175571248,-0.474732470877017
142,6787.25164180348,0.000548303534673403,1.69350010367554,6.2803546015223,6.68586362627563,-0.243383136253965,0.354104928666068,0.313004826404751,0.70392238508299,-0.530217836290713
143,6787.24477325279,0.000547683949027556,1.69350015157316,6.28035460930368,6.68896101502186,-0.245350233219612,0.325059436304346,0.31309338342526,0.675304189371044,-0.583329364889803
144,6787.23785805753,0.000547060627099627,1.6935001998942,6.28035461721031,6.69206418472449,-0.24732311136006,0.293421934938905,0.309725840791811,0.645191358723017,-0.633799323344276
145,6787.23089624946,0.000546433582925231,1.69350024863936,6.28035462524333,6.69517319269016,-0.249301827983427,0.259588756065944,0.302838353907028,0.61369374070459,-0.681382859886441
146,6787.22388785928,0.000545802830468415,1.69350029780923,6.28035463340385,6.69828809645261,-0.251286440624902,0.223967449545193,0.292409646192411,0.580916248382101,-0.725859141103503
147,6787.21683291807,0.000545168383824665,1.69350034740388,6.28035464169289,6.70140895361875,-0.253277006892871,0.186971068781933,0.278460168812856,0.54695848230646,-0.767032054386433
148,6787.20973145455,0.000544530256809912,1.69350039742343,6.28035465011149,6.7045358219546,-0.2552735845548,0.149012774421893,0.261050711589097,0.511914559439592,-0.80473051568316
149,6787.20258349727,0.000543888463333731,1.69350044786786,6.28035465866066,6.7076687596658,-0.257276231817812,0.110500831667132,0.240280549308075,0.475873135534347,-0.838808430275823
150,6787.195389076,0.000543243017622094,1.6935004987369,6.28035466734138,6.71080782545642,-0.259285007387456,0.0718340533857247,0.216285207580912,0.438917602211313,-0.869144358679805
151,6787.18814822254,0.000542593934342369,1.69350055003008,6.28035467615457,6.71395307854478,-0.261299970483511,0.0333977200798915,0.189233928776964,0.401126436103567,-0.89564094075246
152,6787.18086097123,0.000541941228681981,1.69350060174683,6.28035468510117,6.71710457864704,-0.263321180823628,-0.00444001064736067,0.159326912345767,0.362573674995615,-0.918224129234246
153,6787.17352735912,0.000541284916370226,1.69350065388653,6.28035469418207,6.72026238593927,-0.26534869858535,-0.0413312077327876,0.126792395990943,0.323329494818405,-0.936842279877835
154,6787.16614742576,0.000540625013642926,1.69350070644858,6.2803547033982,6.72342656100934,-0.267382584358028,-0.0769507979155354,0.0918836355481949,0.283460861563371,-0.951465139760969
155,6787.1587212127,0.000539961537161778,1.69350075943249,6.28035471275047,6.72659716481702,-0.269422899102897,-0.110998747830075,0.0548758327510484,0.243032233476313,-0.962082769023304
156,6787.15124876281,0.000539294503905997,1.69350081283783,6.28035472223983,6.7297742586714,-0.271469704130525,-0.143201825942753,0.016063051857661,0.202106291077777,-0.968704424743928
157,6787.1437301195,0.000538623931058426,1.6935008666643,6.28035473186723,6.7329579042334,-0.273523061103303,-0.173314976719429,-0.0242448413238486,0.160744675396354,-0.971357429500411
158,6787.13616532636,0.000537949835949771,1.69350092091156,6.28035474163364,6.73614816353823,-0.275583032057888,-0.201122340868699,-0.0657251910048152,0.119008718050106,-0.970086041698852
